Site Timezone,5.5,Elevation,405,Is Offshore,0,WRF Region,1,,,,
Longitude,76.921875,,,,,,,,,,
Latitude,20.42926025,,,,,,,,,,
Year,Month,Day,Hour,Minute,temperature at 100m (C),wind direction at 100m (deg),wind speed at 100m (m/s),air pressure at 100m (Pa),wind speed at 80m (m/s),temperature at 80m (C),wind direction at 80m (deg)
2014,1,13,12,30,25.16,112.22,3.63,96150,3.6,25.4,111.94
2014,1,13,13,30,25.9,106.09,2.46,96100,2.44,26.14,105.68
2014,1,13,14,30,26.29,75.46,1.61,95990,1.61,26.52,74.95
2014,1,13,15,30,26.48,95.49,1.92,95950,1.92,26.7,94.88
2014,1,13,16,30,26.4,99.22,2.38,95930,2.37,26.6,98.53
2014,1,13,17,30,26.15,96.35,3.92,95920,3.95,26.33,95.99
2014,1,13,18,30,25.9,104.35,4.65,95950,4.66,25.97,104.62
2014,1,13,19,30,25.49,115.77,5.47,95970,5.51,25.47,117.46
2014,1,13,20,30,25.43,122.42,6.68,96010,6.8,25.54,123.33
2014,1,13,21,30,25.05,121.65,7.91,96030,7.95,25.08,122.36
2014,1,13,22,30,24.84,119.45,7.49,96010,7.66,24.8,119.65
2014,1,13,23,30,24.29,124.12,9.01,95990,9.02,24.24,125.72
2014,1,14,0,30,23.71,137.03,10.95,96010,10.89,23.61,138.58
2014,1,14,1,30,24.23,135.5,9.93,96010,9.98,24.17,135.5
2014,1,14,2,30,23.92,131.95,9.64,95970,9.78,23.83,132.53
2014,1,14,3,30,18.68,150.74,1.67,95820,0.69,18.01,182.85
2014,1,14,4,30,18.01,228.51,0.95,95830,1.05,17.58,265.94
2014,1,14,5,30,17.68,267.63,0.25,95840,0.63,17.31,325.95
2014,1,14,6,30,17,64.9,1.47,95920,1.64,16.69,63.39
2014,1,14,7,30,18.14,104.63,2.23,95990,1.93,17.99,94.54
2014,1,14,8,30,18.54,105.16,1.77,96110,1.68,18.76,103.07
2014,1,14,9,30,21.6,114.35,2.46,96150,2.42,21.83,113.33
2014,1,14,10,30,24.24,146.11,3.86,96130,3.8,24.48,145.69
2014,1,14,11,30,25.46,157.16,3.36,96030,3.32,25.71,156.98
2014,1,14,12,30,26.21,170.77,2.71,96030,2.68,26.45,170.65
2014,1,14,13,30,26.72,175.55,2.36,95980,2.33,26.96,175.47
2014,1,14,14,30,27.06,168.52,2.46,95890,2.43,27.29,168.39
2014,1,14,15,30,27.2,178.98,2.99,95790,2.96,27.41,178.84
2014,1,14,16,30,27.12,175,2.74,95760,2.7,27.33,174.72
2014,1,14,17,30,26.97,178.63,3.1,95780,3.08,27.13,178.22
2014,1,14,18,30,26.74,170.72,3.27,95800,3.31,26.85,169.76
2014,1,14,19,30,26.54,163.27,4.41,95860,4.53,26.61,163.1
2014,1,14,20,30,25.73,161.65,6.02,95910,6.14,25.66,160.83
2014,1,14,21,30,25.85,149.13,7.14,95900,7.31,25.88,149
2014,1,14,22,30,25.73,147.52,7.87,95900,7.95,25.8,147.99
2014,1,14,23,30,25.24,139.97,8.69,95880,8.8,25.21,140.66
2014,1,15,0,30,24.52,151.25,11.02,95890,10.76,24.36,151.52
2014,1,15,1,30,24.56,151.39,10.57,95900,10.53,24.35,151.31
2014,1,15,2,30,23.81,155.5,11.62,95880,11.4,23.58,155.88
2014,1,15,3,30,23.78,159.64,11.69,95860,11.51,23.46,159.51
